,state,ref_year,enrolled,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,total_expenditure_per_student,instruction_expenditure_per_student,support_expenditure_per_student,7yr_avg_total_per_student,7yr_avg_instruction_per_student,7yr_avg_support_per_student
756,Tennessee,2006,953514.0,7195519,793477,3097824,3304218,7395357,4248091,1995464,395656.0,573015,7.755897658555616,4.455195204265485,2.0927474583488026,7.9226202559321015,4.492391976650323,2.169795069873398
807,Tennessee,2007,978084.0,7617488,805633,3342186,3469669,7817659,4473035,2144367,414587.0,593354,7.992829859194098,4.573262623660136,2.192415988810777,8.1876750392419,4.646347855077304,2.268836541995413
858,Tennessee,2008,966963.0,8086152,840919,3711646,3533587,8488521,4709467,2373319,451628.0,735501,8.778537544869867,4.870369393658289,2.454405184065988,8.429575091367632,4.760566753262821,2.3689521621021945
909,Tennessee,2009,971484.0,8112895,870374,3800870,3441651,8611178,4809809,2480290,461464.0,652210,8.863942175064128,4.950991472839491,2.553094029340679,8.680525530650907,4.871829859977124,2.4645204658999966
960,Tennessee,2010,971414.0,8405025,1094293,3834174,3476558,8760367,4934044,2516326,467568.0,627390,9.018160125343057,5.079239129763417,2.590374443851952,8.90375259000743,4.982616726791678,2.565781266035027
1011,Tennessee,2011,986382.0,8679893,1272825,3955476,3451592,8961443,4947165,2635217,479721.0,661195,9.085164773890845,5.015465610686326,2.671598832906521,9.119543966053786,5.091600382166385,2.656370762700111
1062,Tennessee,2012,998638.0,8983224,1257953,4017946,3707325,9256522,5151260,2693334,514174.0,671532,9.269146577638743,5.158285584966725,2.6970073239752543,9.239055990470286,5.163356247740363,2.7169190205693488
1113,Tennessee,2013,992461.0,9008032,1165801,4097627,3744604,9248235,5191269,2780452,534815.0,564756,9.318487074051273,5.230703271967362,2.8015730592940176,9.356726024007012,5.228326787643342,2.7689537653597536
1164,Tennessee,2014,992583.0,9237782,1095377,4315952,3826453,9432883,5296570,2805578,536241.0,549104,9.503369491518594,5.336148211283087,2.826542465466364,9.413153673784336,5.253174730623329,2.7987169856110534
1215,Tennessee,2015,994530.0,9455920,1122775,4385403,3947742,9562527,5343272,2862499,560697.0,553396,9.615121715785346,5.372660452676138,2.878242989150654,9.478751453763035,5.30071655461073,2.8241406161519604
1266,Tennessee,2016,999265.0,9585331,1095415,4395757,4094159,9680512,5401812,2915193,569611.0,553997,9.68763240982122,5.405785252160338,2.917337242873512,9.531152672794107,5.336324297021731,2.8559239391961366
43,Texas,1992,,16264180,1160185,6706959,8397036,16119084,7961379,4613884,,1833239,,,,5.365159347821794,2.716315889078949,1.5743845202479447
94,Texas,1993,3535333.0,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683.0,2989512,5.254065458614507,2.521472517581795,1.4568282535195411,5.521211741085635,2.8010584158493854,1.5906054884625491
145,Texas,1994,3601627.0,19713604,1456330,8569649,9687625,19224149,9814470,6093204,936331.0,1717181,5.337629077080997,2.725010113484822,1.691792070639186,5.654227407391948,2.8700839253578883,1.603798070642796
196,Texas,1995,3670007.0,20483376,1496378,8718907,10268091,20198924,10652067,5778548,1087321.0,2104954,5.503783507769876,2.9024650361702307,1.5745332365851072,5.814546562715054,2.940599263769892,1.634193953048726
247,Texas,1996,3740260.0,22241369,1613462,9834742,10793165,22401797,11427564,6131290,1174475.0,2667181,5.989368920877158,3.055285996160695,1.6392683931063616,5.996699802528886,3.0103832818261695,1.6765907550589225
298,Texas,1997,3826366.0,23091567,1688975,9878849,11523743,23671010,12038459,6338637,1153593.0,3147085,6.186290072617204,3.1461859633918974,1.6565683993637828,6.365208503858024,3.1911347338295686,1.7677291419061736
349,Texas,1998,3888061.0,24485263,1830474,10632566,12022223,25723965,12804069,6944751,1209084.0,3561286,6.616142339330581,3.293175955829911,1.786173365078377,6.782106452722293,3.367248277299442,1.8475558383293778
400,Texas,1999,3933017.0,26096023,2161662,10802214,13132147,27883593,13486659,7594544,1306137.0,3970379,7.089619241411873,3.429087390163836,1.9309715671201015,7.2349342750853065,3.5371433188577726,1.9554255750033338
451,Texas,2000,3965971.0,28918934,2406972,12471856,14040106,31067935,15018072,8307904,1371714.0,4719976,7.833626367918474,3.786732681605589,2.094796961450298,7.648584574183744,3.7129757744866128,2.0702021196667175
502,Texas,2001,4021535.0,30868844,2631160,12688089,15549595,33201450,15916451,9050782,1476787.0,4898465,8.25591471913088,3.9578049177739345,2.2505789456016174,8.041989174933374,3.875865090450287,2.18538016081533
553,Texas,2002,4112315.0,32802734,2941562,12930564,16930608,35668486,16826484,9580137,1582967.0,5399775,8.673578264310978,4.091730327078543,2.329621393302799,8.42507646394507,4.029975682642301,2.2915249397264263
604,Texas,2003,4201914.0,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131.0,4764154,8.884921014566219,4.286113185562579,2.4427042057500463,8.805262214366087,4.19174356052228,2.390360224466945
655,Texas,2004,4267330.0,36055119,3782724,13201169,19071226,38150452,18291531,10509643,1798316.0,4812152,8.940122277864614,4.286411175137616,2.4628146874040677,9.139508501410464,4.317345514961871,2.4851642834643535
706,Texas,2005,4334611.0,37783715,4095588,13017433,20670694,40302144,18950703,10963041,1883727.0,5592231,9.297753362412452,4.371950101174015,2.5291868174560532,9.525569442851964,4.4642958587184145,2.5802356726659186
757,Texas,2006,4450272.0,41142403,4735208,13503141,22904054,43394244,20299749,11672256,1980118.0,6170544,9.750919494358996,4.561462535323684,2.6228185603037297,9.933414487721567,4.614332074506767,2.671631770287616
808,Texas,2007,4513835.0,44355326,4423644,15952564,23979118,45920825,21061312,12451077,2073350.0,6654163,10.173350377229118,4.66594636268273,2.7584253744321625,10.289743451214658,4.76023648264568,2.7510398464361434
859,Texas,2008,4581517.0,46245975,4501845,19923849,21820281,50205827,22845539,13360064,2214832.0,8133118,10.958341309221378,4.986457324069735,2.9160786700125745,10.58072820035774,4.896522382600869,2.82555358321992
910,Texas,2009,4647205.0,48087531,4913841,19708771,23464919,53575273,23895853,13799383,2289408.0,9297597,11.528493578398198,5.1419838375970075,2.9693940766546776,10.733178513638999,4.976770732418964,2.875712221743609
961,Texas,2010,4728815.0,50559500,7984614,18899565,23675321,53810244,25097921,14179639,2401640.0,8055742,11.37922375901785,5.307444042534969,2.998560738789739,10.81833443269757,5.031802963423843,2.9137850474232025
1012,Texas,2011,4800196.0,51023159,7818075,19623258,23581826,52691826,25155007,14325757,2474232.0,6556210,10.977015521866191,5.240412474823945,2.9844108448905002,10.89753711893569,5.097343965967725,2.947011616646649
1063,Texas,2012,4844744.0,49979753,6140296,19801928,24037529,50215314,23902458,13954303,2497013.0,5538370,10.364905555381254,4.933688549900676,2.880297287121879,10.937805391712123,5.148416926856827,2.9627401956258397
1114,Texas,2013,4897523.0,49734537,5695947,18873046,25165544,50674724,24226519,14150552,2585417.0,5472152,10.347010927768997,4.946688152357835,2.889328340060884,10.967716624856243,5.201515515799744,2.9673706896653416
1165,Texas,2014,4949469.0,52776853,5643178,20510815,26622860,53096761,25364709,14803918,2682490.0,5766846,10.72776918089597,5.124733380489907,2.991011358996288,10.899132102495974,5.183860761343873,2.962172348144609
1216,Texas,2015,5004866.0,55582029,5830972,20967429,28783628,56255791,26745844,15145619,2783770.0,6765205,11.240219218656403,5.343968050293454,3.026178722866906,10.883555418621931,5.172550418647859,2.957724648795431
1267,Texas,2016,5053291.0,58284155,5953348,22004299,30326508,59314884,27862199,15169007,2855527.0,8332612,11.73787221040704,5.513673960197424,3.001807534931196,11.013217884432102,5.232265885834655,2.977081489213819
44,Utah,1992,,1555799,105349,872510,577940,1547980,841552,396073,,155425,,,,3.9531743016804666,2.0978619603066058,0.8965456074969264
95,Utah,1993,462323.0,1638305,116791,928596,592918,1665011,881924,410867,128758.0,207312,3.601402050081869,1.907592743601335,0.8887011894281703,4.097059763419204,2.169726909663359,0.9205788472577938
146,Utah,1994,469811.0,1792011,125520,982848,683643,1846448,997141,413388,137271.0,256177,3.930193205352791,2.122430083586804,0.8799027694115293,4.185827681184622,2.2263715921725935,0.9468121311854754
197,Utah,1995,472589.0,1953833,134118,1055987,763728,2045331,1069735,435270,143824.0,348647,4.327927649606741,2.263563053731678,0.9210328636510795,4.29467814660726,2.2889055360008004,0.9748821740895757
248,Utah,1996,474907.0,2035726,134703,1197910,703113,2150719,1132806,471430,153581.0,342609,4.528716148635417,2.385321757733619,0.9926785665403963,4.4117050917289236,2.3541966167262456,1.0051455709396122
299,Utah,1997,479812.0,2187279,140044,1367806,679429,2178778,1176955,504640,160763.0,282827,4.540899352246297,2.452950322209532,1.051745266896201,4.6381861547973555,2.487021731600404,1.0565582573718955
350,Utah,1998,480811.0,2295870,166979,1394158,734733,2326611,1250866,536216,167139.0,307674,4.838930473720443,2.6015752551418334,1.1152323886100775,4.875620653707683,2.614279838857675,1.1263756582859095
401,Utah,1999,478814.0,2425600,174299,1481463,769838,2448591,1314796,568221,188105.0,312833,5.113866762458909,2.745943101078916,1.1867259520398317,5.126645940356383,2.747245172692007,1.1980069130124864
452,Utah,2000,477835.0,2546642,189502,1507711,849429,2478420,1355794,596620,192296.0,270172,5.186769491560894,2.8373685477204473,1.2485899944541525,5.35441878090384,2.8526132530603947,1.2647232432789797
503,Utah,2001,477380.0,2741771,228659,1588164,924948,2669621,1438459,653354,200475.0,311553,5.5922346977250825,3.0132368343876994,1.3686245758096276,5.604729390924224,2.957416763852638,1.3311610042757103
554,Utah,2002,480526.0,2865058,238599,1680625,945834,2924051,1534954,683525,200572.0,426219,6.085104656147638,3.194320390571998,1.4224516467371173,5.846608976406648,3.063622940513568,1.3976064595089197
605,Utah,2003,483066.0,2875622,263030,1607204,1005388,2957874,1508566,705128,205147.0,469251,6.1231260324676136,3.122898320312338,1.4596928784058494,6.086072541838127,3.163154562341547,1.464450937239074
656,Utah,2004,487311.0,2997200,299200,1654191,1043809,3066684,1552853,739158,224631.0,479463,6.293073622388988,3.186574897755232,1.516809593873317,6.370607993470418,3.272603988163867,1.5330980580802647
707,Utah,2005,488055.0,3181279,326400,1729443,1125436,3188018,1632553,771298,241992.0,467720,6.532087572097407,3.3450184917683456,1.5803505752425444,6.685660937971384,3.3732558203805243,1.5811279702041585
758,Utah,2006,496507.0,3381146,342862,1825910,1212374,3371338,1709307,821539,255128.0,504723,6.790111720479268,3.442664453874769,1.6546372961509102,7.002223765759332,3.4990053543893853,1.6485478018000899
809,Utah,2007,504079.0,3656090,343915,1977900,1334275,3618540,1816456,871613,266481.0,579188,7.178517652986932,3.6035145284766874,1.729119840342486,7.275001030580718,3.6144526002841957,1.705981074446316
860,Utah,2008,556314.0,4198001,380907,2363716,1453378,4337917,2068264,948423,289783.0,929772,7.7976053092318365,3.7177996599042986,1.7048339606768839,7.475040873713325,3.724306135962475,1.7560856857960097
